Rank,lat,long,Airport,Location,Country,Code (IATA/ICAO),Total passengers
1.0,33.6324,-84.4277,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,ATL/KATL,93699630
2.0,32.8998,-97.0403,Dallas Fort Worth International Airport,"Dallas–Fort Worth, Texas",United States,DFW/KDFW,73362946
3.0,39.8561,-104.6737,Denver International Airport,"Denver, Colorado",United States,DEN/KDEN,69286461
4.0,41.9742,-87.9073,O'Hare International Airport,"Chicago, Illinois",United States,ORD/KORD,68340619
5.0,25.2532,55.3657,Dubai International Airport,"Garhoud, Dubai",United Arab Emirates,DXB/OMDB,66069981
6.0,33.9416,-118.4085,Los Angeles International Airport,"Los Angeles, California",United States,LAX/KLAX,65924298
7.0,41.2756,28.7519,Istanbul Airport,"Arnavutköy, Istanbul",Turkey,IST/LTFM,64289107
8.0,51.47,-0.4543,Heathrow Airport,"Hillingdon, London",United Kingdom,LHR/EGLL,61614508
9.0,28.5562,77.1,Indira Gandhi International Airport,"Palam, Delhi",India,DEL/VIDP,59490074
10.0,49.0097,2.5479,Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,CDG/LFPG,57474033
11.0,40.641766,-73.780968,John F. Kennedy International Airport,"Queens, New York City, New York",United States,JFK/KJFK,55287693
12.0,36.08601,-115.153969,Harry Reid International Airport,"Las Vegas, Nevada",United States,LAS/KLAS,52694312
13.0,52.308056,4.764167,Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland",Netherlands,AMS/EHAM,52472188
14.0,25.7933,-80.2906,Miami International Airport,"Miami-Dade County, Florida",United States,MIA/KMIA,50684396
15.0,40.49222,-3.57167,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD/LEMD,50602864
16.0,35.5494,139.7798,Tokyo Haneda Airport,"Ōta, Tokyo",Japan,HND/RJTT,50290705
17.0,28.424618,-81.310753,Orlando International Airport,"Orlando, Florida",United States,MCO/KMCO,50176103
18.0,50.0333,8.5706,Frankfurt Airport,"Frankfurt, Hesse",Germany,FRA/EDDF,48918482
19.0,35.214,-80.9431,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,CLT/KCLT,47758605
20.0,19.4363,-99.0721,Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,MEX/MMMX,46261729
21.0,47.4484,-122.3086,Seattle–Tacoma International Airport,"SeaTac, Washington",United States,SEA/KSEA,45964321
22.0,33.4352,-112.0101,Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,PHX/KPHX,44397854
23.0,40.6895,-74.1745,Newark Liberty International Airport,"Newark, New Jersey",United States,EWR/KEWR,43565254
24.0,37.6193,-122.3816,San Francisco International Airport,"San Mateo County, California",United States,SFO/KSFO,42210201
